"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"age","3815","0","1","-1.664","-0.861","0.825","1.547"
"num_healthcare_visits","3813","","","","","",""
"... 0 to 1","956","25.1%","","","","",""
"... 2 to 3","1001","26.3%","","","","",""
"... 4 to 9","1224","32.1%","","","","",""
"... 10 to 12","318","8.3%","","","","",""
"... 13 or more","314","8.2%","","","","",""
"gender","3815","","","","","",""
"... Male","1865","48.9%","","","","",""
"... Female","1950","51.1%","","","","",""
"ethnicity","3815","","","","","",""
"... Non-Hispanic White","1991","52.2%","","","","",""
"... Hispanic","1008","26.4%","","","","",""
"... Non-Hispanic Black","816","21.4%","","","","",""
"education","3812","","","","","",""
"... High School/GED","931","24.4%","","","","",""
"... Less than High School","1271","33.3%","","","","",""
"... Some college","909","23.8%","","","","",""
"... College Graduate or above","701","18.4%","","","","",""
"marital_status","3814","","","","","",""
"... Never Married","285","7.5%","","","","",""
"... Married","2319","60.8%","","","","",""
"... Previously Married","1210","31.7%","","","","",""
"food_ran_out","3781","","","","","",""
"... Never true","3166","83.7%","","","","",""
"... Often True","184","4.9%","","","","",""
"... Sometimes true","431","11.4%","","","","",""
"health_insurance","3812","","","","","",""
"... Not Covered","623","16.3%","","","","",""
"... Covered","3189","83.7%","","","","",""
"home","3785","","","","","",""
"... Owned or being bought","2776","73.3%","","","","",""
"... Rented","944","24.9%","","","","",""
"... Other Arrangement","61","1.6%","","","","",""
"... Refused","1","0%","","","","",""
"... Don't know","3","0.1%","","","","",""
"... Missing","0","0%","","","","",""
"poverty_level_category","3569","","","","","",""
"... Poverty Index in (1.30, 1.85)","552","15.5%","","","","",""
"... Poverty Index <= 1.3","1132","31.7%","","","","",""
"... Poverty Index > 1.85","1885","52.8%","","","","",""
"emotional_support","3807","","","","","",""
"... Yes","3434","90.2%","","","","",""
"... No","350","9.2%","","","","",""
"... SP doesn't need help","23","0.6%","","","","",""
"health_care_access","3815","","","","","",""
"... Yes","3450","90.4%","","","","",""
"... There is no place","358","9.4%","","","","",""
"... There is more than one place","7","0.2%","","","","",""
"... Refused","0","0%","","","","",""
"... Don't know","0","0%","","","","",""
"... Missing","0","0%","","","","",""
"depression","3357","0","1","-0.746","-0.746","0.377","5.314"
"high_blood_pressure","3812","","","","","",""
"... No","1983","52%","","","","",""
"... Yes","1829","48%","","","","",""
"cholesterol","3144","","","","","",""
"... Yes","1619","51.5%","","","","",""
"... No","1525","48.5%","","","","",""
"diabetes","3813","","","","","",""
"... Yes","675","17.7%","","","","",""
"... No","3057","80.2%","","","","",""
"... Borderline","81","2.1%","","","","",""
"cigarette_use","3811","","","","","",""
"... Never smoked","1854","48.6%","","","","",""
"... Past smoker","1225","32.1%","","","","",""
"... Current smoker","732","19.2%","","","","",""
"BMI","3728","0","1","-2.772","-0.692","0.513","5.953"
"religious_attendance","3808","","","","","",""
"... Less than Weekly","2272","59.7%","","","","",""
"... Weekly","1072","28.2%","","","","",""
"... More than Weekly","464","12.2%","","","","",""
"cvd","3815","","","","","",""
"... 0","3150","82.6%","","","","",""
"... 1","665","17.4%","","","","",""
